Tag	dynamicColors	mergedColors
ELP3	palevioletred3	palevioletred3
ELP4	darkorange2	darkgreen
ELP5	grey	grey
ELP6	purple	darkgreen
EMB	brown	brown
EMC1	pink	darkgreen
EMC10	white	paleturquoise
EMC2	plum2	plum2
EMC3	purple	darkgreen
EMC4	grey	grey
EMC6	lightyellow	darkgreen
EMC7	grey	grey
EMC8	tan	darkgreen
EMC9	grey	grey
EMCN	blue	blue
EMD	grey	grey
EME1	yellow	yellow
EME2	lightsteelblue1	lightsteelblue1
EMG1	brown4	brown4
EMID1	grey	grey
EMILIN1	blue	blue
EMILIN2	brown	brown
EMILIN3	grey	grey
EML1	greenyellow	darkgreen
EML2	paleturquoise	paleturquoise
EML3	brown	brown
EML4	turquoise	darkgreen
EMP1	blue	blue
EMP2	grey	grey
EMP3	brown	brown
EMSY	turquoise	darkgreen
EMX2	grey	grey
ENAH	lightcyan	darkgreen
ENC1	blue	blue
ENDOD1	yellowgreen	darkgreen
ENDOG	grey	grey
ENDOU	grey	grey
ENDOV	mediumpurple3	bisque4
ENG	blue	blue
ENGASE	mediumpurple3	bisque4
ENHO	grey	grey
ENKD1	tan	darkgreen
ENKUR	green	green
ENO1	pink	darkgreen
ENO2	grey	grey
ENO3	red	red
ENO4	green	green
ENOPH1	darkgreen	darkgreen
ENOSF1	red	red
ENOX1	blue	blue
ENOX2	salmon	darkgreen
ENPEP	blue	blue
ENPP1	blue	blue
ENPP2	brown	brown
ENPP3	grey	grey
ENPP4	magenta	darkgreen
ENPP5	magenta	darkgreen
ENSA	grey	grey
ENTPD1	brown	brown
ENTPD2	grey	grey
ENTPD3	blue	blue
ENTPD4	palevioletred3	palevioletred3
ENTPD5	greenyellow	darkgreen
ENTPD6	navajowhite2	navajowhite2
ENTPD7	floralwhite	darkgreen
ENTPD8	grey	grey
ENTR1	lightgreen	darkgreen
ENY2	plum2	plum2
EOGT	blue	blue
EOMES	violet	brown
EP300	grey60	darkgreen
EP400	black	darkgreen
EPAS1	brown	brown
EPB41	turquoise	darkgreen
EPB41L1	orange	darkgreen
EPB41L2	lightcyan1	darkgreen
EPB41L3	brown	brown
EPB41L4A	turquoise	darkgreen
EPB41L4B	midnightblue	darkgreen
EPB41L5	turquoise	darkgreen
EPC1	turquoise	darkgreen
EPC2	steelblue	darkgreen
EPCAM	grey	grey
EPDR1	blue	blue
EPG5	honeydew1	darkgreen
EPHA1	grey	grey
EPHA10	grey	grey
EPHA2	turquoise	darkgreen
EPHA3	blue	blue
EPHA4	grey	grey
EPHA6	grey	grey
EPHB1	grey	grey
EPHB2	lightgreen	darkgreen
EPHB3	grey	grey
EPHB4	turquoise	darkgreen
EPHB6	grey	grey
EPHX1	grey	grey
EPHX2	palevioletred3	palevioletred3
EPHX3	grey	grey
EPHX4	grey	grey
EPM2A	lightcyan1	darkgreen
EPM2AIP1	purple	darkgreen
EPN1	white	paleturquoise
EPN2	lightyellow	darkgreen
EPN3	grey	grey
EPOP	grey	grey
EPOR	turquoise	darkgreen
EPPK1	lavenderblush3	lavenderblush3
EPS15	turquoise	darkgreen
EPS15L1	salmon4	salmon4
EPS8	blue	blue
EPS8L1	grey	grey
EPS8L2	darkorange2	darkgreen
EPSTI1	darkmagenta	darkmagenta
EPYC	blue	blue
ERAL1	darkturquoise	darkgreen
ERAP1	saddlebrown	darkgreen
ERAP2	grey	grey
ERBB2	darkturquoise	darkgreen
ERBB3	grey	grey
ERBB4	grey	grey
ERBIN	saddlebrown	darkgreen
ERC1	brown4	brown4
ERCC1	paleturquoise	paleturquoise
ERCC2	paleturquoise	paleturquoise
ERCC3	turquoise	darkgreen
ERCC4	skyblue3	darkgreen
ERCC5	skyblue	darkgreen
ERCC6	turquoise	darkgreen
ERCC6L	yellow	yellow
ERCC6L2	midnightblue	darkgreen
ERCC8	saddlebrown	darkgreen
ERF	paleturquoise	paleturquoise
ERFE	grey	grey
ERFL	grey	grey
ERG	blue	blue
ERG28	greenyellow	darkgreen
ERGIC1	plum1	darkgreen
ERGIC2	brown4	brown4
ERGIC3	grey	grey
ERH	grey	grey
ERI1	palevioletred3	palevioletred3
ERI2	skyblue3	darkgreen
ERI3	pink	darkgreen
ERICH1	palevioletred3	palevioletred3
ERICH2	green	green
ERICH5	grey	grey
ERLEC1	cyan	darkgreen
ERLIN1	floralwhite	darkgreen
ERLIN2	palevioletred3	palevioletred3
ERMAP	pink	darkgreen
ERMARD	lightcyan1	darkgreen
ERMP1	darkslateblue	darkslateblue
ERN1	bisque4	bisque4
ERO1A	greenyellow	darkgreen
ERO1B	grey	grey
ERP27	grey	grey
ERP29	black	darkgreen
ERP44	midnightblue	darkgreen
ERRFI1	blue	blue
ERV3-1	turquoise	darkgreen
ERVK3-1	white	paleturquoise
ERVMER34-1	grey	grey
ESAM	blue	blue
ESCO1	turquoise	darkgreen
ESCO2	yellow	yellow
ESD	skyblue	darkgreen
ESF1	navajowhite2	navajowhite2
ESM1	grey	grey
ESPL1	yellow	yellow
ESPN	grey	grey
ESPNL	grey	grey
ESR1	grey	grey
ESRP1	plum2	plum2
ESRP2	tan	darkgreen
ESRRA	darkolivegreen	darkgreen
ESRRG	grey	grey
ESS2	grey60	darkgreen
ESYT1	turquoise	darkgreen
ESYT2	darkseagreen4	darkgreen
ESYT3	grey	grey
ETAA1	cyan	darkgreen
ETF1	plum1	darkgreen
ETFA	darkred	darkgreen
ETFB	grey	grey
ETFBKMT	grey	grey
ETFDH	darkgreen	darkgreen
ETFRF1	brown4	brown4
ETHE1	grey	grey
ETNK1	brown4	brown4
ETNK2	grey	grey
ETS1	brown	brown
ETS2	turquoise	darkgreen
ETV1	blue	blue
ETV2	darkgrey	darkgrey
ETV3	turquoise	darkgreen
ETV4	grey	grey
ETV5	grey	grey
ETV6	brown4	brown4
ETV7	brown	brown
EVA1A	grey	grey
EVA1B	blue	blue
EVA1C	brown	brown
EVC	turquoise	darkgreen
EVC2	royalblue	darkgreen
EVI2A	brown	brown
EVI2B	brown	brown
EVI5	turquoise	darkgreen
EVI5L	orangered4	orangered4
EVL	greenyellow	darkgreen
EVPL	mediumpurple3	bisque4
EWSR1	grey60	darkgreen
EXD2	greenyellow	darkgreen
EXD3	lightgreen	darkgreen
EXO1	yellow	yellow
EXO5	turquoise	darkgreen
EXOC1	royalblue	darkgreen
EXOC2	turquoise	darkgreen
EXOC3	turquoise	darkgreen
EXOC3L1	grey	grey
EXOC3L2	blue	blue
EXOC3L4	grey	grey
EXOC4	turquoise	darkgreen
EXOC5	greenyellow	darkgreen
EXOC6	floralwhite	darkgreen
EXOC6B	cyan	darkgreen
EXOC7	mediumpurple3	bisque4
EXOC8	lightcyan	darkgreen
EXOG	purple	darkgreen
EXOSC1	grey	grey
EXOSC10	pink	darkgreen
EXOSC2	lightgreen	darkgreen
EXOSC3	darkslateblue	darkslateblue
EXOSC4	lavenderblush3	lavenderblush3
EXOSC5	grey	grey
EXOSC6	tan	darkgreen
EXOSC7	purple	darkgreen
EXOSC8	skyblue	darkgreen
EXOSC9	darkgreen	darkgreen
EXPH5	yellowgreen	darkgreen
EXT1	plum2	plum2
EXT2	darkorange2	darkgreen
EXTL1	blue	blue
EXTL2	cyan	darkgreen
EXTL3	palevioletred3	palevioletred3
EYA2	grey	grey
EYA3	pink	darkgreen
EYA4	grey	grey
EZH1	red	red
EZH2	yellow	yellow
EZR	lightcyan1	darkgreen
F10	grey	grey
F11R	turquoise	darkgreen
F12	grey	grey
F13A1	brown	brown
F2R	blue	blue
F2RL1	grey	grey
F2RL3	grey	grey
F3	blue	blue
F8	salmon	darkgreen
F8A1	grey	grey
F8A3	grey	grey
FA2H	grey	grey
FAAH	grey	grey
FAAH2	grey	grey
FAAP100	mediumpurple3	bisque4
FAAP20	grey	grey
FAAP24	darkgrey	darkgrey
FABP3	grey	grey
FABP4	blue	blue
FABP5	grey	grey
FABP6	grey	grey
FADD	darkolivegreen	darkgreen
FADS1	grey	grey
FADS2	grey	grey
FADS3	grey	grey
FAF1	turquoise	darkgreen
FAF2	plum1	darkgreen
FAH	grey	grey
FAHD1	lightsteelblue1	lightsteelblue1
FAHD2A	red	red
FAHD2B	grey	grey
FAIM	sienna3	darkgreen
FAIM2	grey	grey
FAM102A	lightgreen	darkgreen
FAM102B	turquoise	darkgreen
FAM104A	mediumpurple3	bisque4
FAM104B	grey	grey
FAM107A	grey	grey
FAM107B	grey	grey
FAM110A	navajowhite2	navajowhite2
FAM110B	grey	grey
FAM110C	grey	grey
FAM110D	blue	blue
FAM111A	yellow	yellow
FAM111B	yellow	yellow
FAM114A1	royalblue	darkgreen
FAM114A2	plum1	darkgreen
FAM117A	bisque4	bisque4
FAM117B	steelblue	darkgreen
FAM118A	grey60	darkgreen
FAM118B	yellowgreen	darkgreen
FAM120A	midnightblue	darkgreen
FAM120AOS	midnightblue	darkgreen
FAM120B	lightcyan1	darkgreen
FAM120C	salmon	darkgreen
FAM122A	midnightblue	darkgreen
FAM122B	salmon	darkgreen
FAM122C	salmon	darkgreen
FAM124A	grey	grey
FAM126A	blue	blue
FAM126B	steelblue	darkgreen
FAM131A	lightpink4	darkgreen
FAM131B	grey	grey
FAM131C	grey	grey
FAM133B	steelblue	darkgreen
FAM135A	maroon	darkgreen
FAM136A	cyan	darkgreen
FAM13A	grey	grey
FAM13B	plum1	darkgreen
FAM13C	grey	grey
FAM149A	green	green
FAM149B1	floralwhite	darkgreen
FAM153B	grey	grey
FAM155A	blue	blue
FAM155B	grey	grey
FAM160A1	turquoise	darkgreen
FAM160A2	darkorange2	darkgreen
FAM160B1	turquoise	darkgreen
FAM160B2	palevioletred3	palevioletred3
FAM161A	cyan	darkgreen
FAM161B	greenyellow	darkgreen
FAM162A	grey	grey
FAM162B	blue	blue
FAM166B	green	green
FAM166C	green	green
FAM167A	grey	grey
FAM167B	blue	blue
FAM168A	darkolivegreen	darkgreen
FAM168B	turquoise	darkgreen
FAM169A	turquoise	darkgreen
FAM171A1	turquoise	darkgreen
FAM171A2	orange	darkgreen
FAM171B	grey	grey
FAM172A	saddlebrown	darkgreen
FAM174A	green	green
FAM174B	grey	grey
FAM174C	grey	grey
FAM177A1	greenyellow	darkgreen
FAM178B	grey	grey
FAM180A	blue	blue
FAM181A	grey	grey
FAM181B	grey	grey
FAM183A	green	green
FAM184A	grey	grey
FAM185A	turquoise	darkgreen
FAM189A1	blue	blue
FAM189A2	grey	grey
FAM189B	turquoise	darkgreen
FAM193A	royalblue	darkgreen
FAM193B	red	red
FAM199X	salmon	darkgreen
FAM200A	turquoise	darkgreen
FAM200B	royalblue	darkgreen
FAM204A	turquoise	darkgreen
FAM207A	grey	grey
FAM20A	brown	brown
FAM20B	turquoise	darkgreen
FAM20C	blue	blue
FAM210A	grey	grey
FAM210B	grey	grey
FAM214A	ivory	darkgreen
FAM214B	darkslateblue	darkslateblue
FAM216A	black	darkgreen
FAM217B	orange	darkgreen
FAM218A	grey	grey
FAM219A	darkslateblue	darkslateblue
FAM219B	darkred	darkgreen
FAM220A	thistle1	darkgreen
FAM221A	thistle1	darkgreen
FAM222A	grey	grey
FAM222B	turquoise	darkgreen
FAM227A	green	green
FAM227B	grey	grey
FAM228B	grey	grey
FAM229A	red	red
FAM229B	grey	grey
FAM234A	lightsteelblue1	lightsteelblue1
FAM234B	brown4	brown4
FAM241A	brown	brown
FAM241B	grey	grey
FAM24B	grey	grey
FAM32A	salmon4	salmon4
FAM3A	grey	grey
FAM3B	grey	grey
FAM3C	grey	grey
FAM3D	grey	grey
FAM43A	grey	grey
FAM43B	grey	grey
FAM47E	green	green
FAM49A	brown	brown
FAM49B	plum2	plum2
FAM50A	grey	grey
FAM50B	grey	grey
FAM53A	royalblue	darkgreen
FAM53B	turquoise	darkgreen
FAM53C	plum1	darkgreen
FAM71E1	grey	grey
FAM71F2	red	red
FAM72A	yellow	yellow
FAM72B	yellow	yellow
FAM72C	yellow	yellow
FAM72D	yellow	yellow
FAM76A	pink	darkgreen
FAM76B	yellowgreen	darkgreen
FAM78A	brown	brown
FAM78B	blue	blue
FAM81A	green	green
FAM81B	green	green
FAM83A	grey	grey
FAM83B	grey	grey
FAM83D	yellow	yellow
FAM83E	grey	grey
FAM83F	grey	grey
FAM83G	lightyellow	darkgreen
FAM83H	lavenderblush3	lavenderblush3
FAM86B1	palevioletred3	palevioletred3
FAM86B2	grey	grey
FAM86C1	darkolivegreen	darkgreen
FAM89A	blue	blue
FAM89B	grey	grey
FAM8A1	magenta	darkgreen
FAM90A1	brown4	brown4
FAM91A1	plum2	plum2
FAM92A	green	green
FAM92B	green	green
FAM98A	cyan	darkgreen
FAM98B	ivory	darkgreen
FAM98C	darkgrey	darkgrey
FAN1	ivory	darkgreen
FANCA	yellow	yellow
FANCB	yellow	yellow
FANCC	midnightblue	darkgreen
FANCD2	purple	darkgreen
FANCE	magenta	darkgreen
FANCF	darkorange2	darkgreen
FANCG	darkslateblue	darkslateblue
FANCI	yellow	yellow
FANCL	cyan	darkgreen
FANCM	greenyellow	darkgreen
FANK1	green	green
FAP	blue	blue
FAR1	darkorange2	darkgreen
FAR2	grey	grey
FARP1	skyblue	darkgreen
FARP2	turquoise	darkgreen
FARS2	magenta	darkgreen
FARSA	thistle2	salmon4
FARSB	turquoise	darkgreen
FAS	brown	brown
FASLG	violet	brown
FASN	mediumpurple3	bisque4
FASTK	darkseagreen4	darkgreen
FASTKD1	steelblue	darkgreen
FASTKD2	steelblue	darkgreen
FASTKD3	turquoise	darkgreen
FASTKD5	navajowhite2	navajowhite2
FAT1	blue	blue
FAT2	grey	grey
FAT4	blue	blue
FAU	turquoise	darkgreen
FAXC	grey	grey
FAXDC2	turquoise	darkgreen
FBF1	mediumpurple3	bisque4
FBH1	turquoise	darkgreen
FBL	darkgrey	darkgrey
FBLIM1	blue	blue
FBLL1	grey	grey
FBLN1	blue	blue
FBLN2	blue	blue
FBLN5	blue	blue
FBLN7	grey	grey
FBN1	blue	blue
FBN2	grey	grey
FBN3	turquoise	darkgreen
FBP1	brown	brown
FBRS	skyblue3	darkgreen
FBRSL1	black	darkgreen
FBXL12	thistle2	salmon4
FBXL13	turquoise	darkgreen
FBXL14	brown4	brown4
FBXL15	grey	grey
FBXL16	grey	grey
FBXL17	saddlebrown	darkgreen
FBXL18	thistle1	darkgreen
FBXL19	skyblue3	darkgreen
FBXL2	purple	darkgreen
FBXL20	darkturquoise	darkgreen
FBXL22	blue	blue
FBXL3	skyblue	darkgreen
FBXL4	maroon	darkgreen
FBXL5	royalblue	darkgreen
FBXL6	lavenderblush3	lavenderblush3
FBXL7	blue	blue
FBXL8	tan	darkgreen
FBXO10	darkslateblue	darkslateblue
FBXO11	turquoise	darkgreen
FBXO15	green	green
FBXO16	palevioletred3	palevioletred3
FBXO17	darkgrey	darkgrey
FBXO2	grey	grey
FBXO21	black	darkgreen
FBXO22	darkred	darkgreen
FBXO25	palevioletred3	palevioletred3
FBXO27	darkgrey	darkgrey
FBXO28	lightcyan	darkgreen
FBXO3	darkorange2	darkgreen
FBXO30	lightcyan1	darkgreen
FBXO31	tan	darkgreen
FBXO32	brown	brown
FBXO33	greenyellow	darkgreen
FBXO34	greenyellow	darkgreen
FBXO36	green	green
FBXO38	plum1	darkgreen
FBXO4	grey	grey
FBXO41	turquoise	darkgreen
FBXO42	pink	darkgreen
FBXO43	yellow	yellow
FBXO44	pink	darkgreen
FBXO45	lightpink4	darkgreen
FBXO46	paleturquoise	paleturquoise
FBXO48	grey	grey
FBXO5	yellow	yellow
FBXO6	darkmagenta	darkmagenta
FBXO7	grey60	darkgreen
FBXO8	darkgreen	darkgreen
FBXO9	magenta	darkgreen
FBXW11	plum1	darkgreen
FBXW2	midnightblue	darkgreen
FBXW4	floralwhite	darkgreen
FBXW5	lightgreen	darkgreen
FBXW7	darkgreen	darkgreen
FBXW8	black	darkgreen
FBXW9	thistle2	salmon4
FCAR	brown	brown
FCER1A	brown	brown
FCER1G	brown	brown
FCF1	greenyellow	darkgreen
FCGBP	brown	brown
FCGR1A	brown	brown
FCGR1B	brown	brown
FCGR2A	brown	brown
FCGR2B	brown	brown
FCGR3A	brown	brown
FCGR3B	brown	brown
FCGRT	grey	grey
FCHO1	grey	grey
FCHO2	saddlebrown	darkgreen
FCHSD1	red	red
FCHSD2	darkolivegreen	darkgreen
FCMR	brown	brown
FCN1	brown	brown
FCN3	grey	grey
FCRL6	brown	brown
FCRLB	grey	grey
FCSK	tan	darkgreen
FDCSP	violet	brown
FDFT1	palevioletred3	palevioletred3
FDPS	grey	grey
FDX1	yellowgreen	darkgreen
FDX2	thistle2	salmon4
FDXACB1	yellowgreen	darkgreen
FDXR	grey	grey
FECH	honeydew1	darkgreen
FEM1B	darkred	darkgreen
FEM1C	saddlebrown	darkgreen
FEN1	yellow	yellow
FER	saddlebrown	darkgreen
FER1L5	grey	grey
FERMT1	grey	grey
FERMT2	blue	blue
FERMT3	brown	brown
FES	darkred	darkgreen
FEZ1	blue	blue
FEZ2	cyan	darkgreen
FFAR4	brown	brown
FGD1	lightgreen	darkgreen
FGD2	brown	brown
FGD3	brown	brown
FGD4	turquoise	darkgreen
FGD5	brown	brown
FGD6	turquoise	darkgreen
FGF1	blue	blue
FGF12	grey	grey
FGF13	grey	grey
FGF17	brown	brown
FGF18	blue	blue
FGF2	blue	blue
FGF7	blue	blue
FGF9	grey	grey
FGFBP1	grey	grey
FGFBP3	grey	grey
FGFR1	turquoise	darkgreen
FGFR1OP	lightcyan1	darkgreen
FGFR1OP2	brown4	brown4
FGFR2	turquoise	darkgreen
FGFR3	grey	grey
FGFR4	grey	grey
FGFRL1	royalblue	darkgreen
FGGY	grey	grey
FGL2	brown	brown
FGR	brown	brown
FH	lightcyan	darkgreen
FHAD1	green	green
FHDC1	turquoise	darkgreen
FHIT	grey	grey
FHL1	grey	grey
FHL2	grey	grey
FHL3	blue	blue
FHOD1	tan	darkgreen
FHOD3	blue	blue
FIBCD1	blue	blue
FIBIN	blue	blue
FIBP	grey	grey
FICD	black	darkgreen
FIG4	maroon	darkgreen
FIGN	grey	grey
FIGNL1	thistle1	darkgreen
FIGNL2	turquoise	darkgreen
FILIP1	grey	grey
FILIP1L	blue	blue
FIP1L1	royalblue	darkgreen
FIS1	grey	grey
FITM1	grey	grey
FITM2	orange	darkgreen
FIZ1	white	paleturquoise
FJX1	grey	grey
FKBP10	skyblue3	darkgreen
FKBP11	grey	grey
FKBP14	blue	blue
FKBP15	midnightblue	darkgreen
FKBP1A	navajowhite2	navajowhite2
FKBP1B	grey	grey
FKBP1C	navajowhite2	navajowhite2
FKBP2	turquoise	darkgreen
FKBP3	greenyellow	darkgreen
FKBP4	brown4	brown4
FKBP5	brown	brown
FKBP7	blue	blue
FKBP8	salmon4	salmon4
FKBP9	thistle1	darkgreen
FKBPL	magenta	darkgreen
FKRP	paleturquoise	paleturquoise
FKTN	midnightblue	darkgreen
FLAD1	yellow	yellow
FLCN	lightyellow	darkgreen
FLI1	brown	brown
FLII	lightyellow	darkgreen
FLNA	turquoise	darkgreen
FLNB	purple	darkgreen
FLNC	blue	blue
FLOT1	magenta	darkgreen
FLOT2	turquoise	darkgreen
FLRT2	blue	blue
FLRT3	grey	grey
FLT1	blue	blue
FLT3LG	brown	brown
FLT4	turquoise	darkgreen
FLVCR1	lightcyan	darkgreen
FLVCR2	brown	brown
FLYWCH1	lightsteelblue1	lightsteelblue1
FLYWCH2	lightsteelblue1	lightsteelblue1
FMC1	turquoise	darkgreen
FMN1	ivory	darkgreen
FMNL1	brown	brown
FMNL2	turquoise	darkgreen
FMNL3	turquoise	darkgreen
FMO1	blue	blue
FMO2	brown	brown
FMO3	grey	grey
FMO4	grey	grey
FMO5	grey	grey
FMOD	blue	blue
FMR1	salmon	darkgreen
FN1	blue	blue
FN3K	mediumpurple3	bisque4
FN3KRP	mediumpurple3	bisque4
FNBP1	lightgreen	darkgreen
FNBP1L	turquoise	darkgreen
FNBP4	red	red
FNDC1	blue	blue
FNDC10	grey	grey
FNDC11	grey	grey
FNDC3A	skyblue	darkgreen
FNDC3B	lightpink4	darkgreen
FNDC4	blue	blue
FNDC5	grey	grey
FNIP1	saddlebrown	darkgreen
FNIP2	blue	blue
FNTA	grey	grey
FNTB	greenyellow	darkgreen
FOCAD	darkslateblue	darkslateblue
FOLH1	grey	grey
FOLR1	grey	grey
FOLR2	brown	brown
FOLR3	grey	grey
FOPNL	skyblue3	darkgreen
FOS	blue	blue
FOSB	blue	blue
FOSL1	blue	blue
FOSL2	turquoise	darkgreen
FOXA1	grey	grey
FOXA2	green	green
FOXA3	grey	grey
FOXC1	grey	grey
FOXC2	blue	blue
FOXD4	grey	grey
FOXF1	blue	blue
FOXF2	blue	blue
FOXH1	grey	grey
FOXI3	grey	grey
FOXJ1	green	green
FOXJ2	brown4	brown4
FOXJ3	turquoise	darkgreen
FOXK1	turquoise	darkgreen
FOXK2	mediumpurple3	bisque4
FOXL2	blue	blue
FOXL2NB	blue	blue
FOXM1	yellow	yellow
FOXN1	grey	grey
FOXN2	cyan	darkgreen
FOXN3	blue	blue
FOXN4	green	green
FOXO1	skyblue	darkgreen
FOXO3	maroon	darkgreen
FOXO3B	lightyellow	darkgreen
FOXO4	salmon	darkgreen
FOXO6	grey	grey
FOXP1	turquoise	darkgreen
FOXP3	violet	brown
FOXP4	magenta	darkgreen
FOXQ1	grey	grey
FOXRED1	yellowgreen	darkgreen
FOXRED2	grey60	darkgreen
FOXS1	blue	blue
FP565260.1	turquoise	darkgreen
FP565260.3	grey	grey
FPGS	lightgreen	darkgreen
FPGT	sienna3	darkgreen
FPR1	brown	brown
FPR3	brown	brown
FRA10AC1	floralwhite	darkgreen
FRAS1	turquoise	darkgreen
FRAT1	floralwhite	darkgreen
FRAT2	floralwhite	darkgreen
FREM1	grey	grey
FRG1	darkgreen	darkgreen
FRK	grey	grey
FRMD3	grey	grey
FRMD4A	turquoise	darkgreen
FRMD4B	purple	darkgreen
FRMD5	grey	grey
FRMD6	blue	blue
FRMD8	darkolivegreen	darkgreen
FRMPD1	grey	grey
FRRS1	turquoise	darkgreen
FRRS1L	grey	grey
FRS2	black	darkgreen
FRS3	magenta	darkgreen
FRY	turquoise	darkgreen
FRYL	royalblue	darkgreen
FRZB	grey	grey
FSCN1	turquoise	darkgreen
FSCN2	turquoise	darkgreen
FSD1	grey	grey
FSD1L	midnightblue	darkgreen
FST	blue	blue
FSTL1	blue	blue
FSTL3	blue	blue
FSTL4	grey	grey
FTCD	red	red
FTCDNL1	grey	grey
FTH1	brown	brown
FTL	brown	brown
FTO	tan	darkgreen
FTSJ1	grey	grey
FTSJ3	bisque4	bisque4
FUBP1	turquoise	darkgreen
FUBP3	lightgreen	darkgreen
FUCA1	brown	brown
FUCA2	lightcyan1	darkgreen
FUNDC1	grey	grey
FUNDC2	salmon	darkgreen
FUOM	grey	grey
FURIN	darkred	darkgreen
FUS	turquoise	darkgreen
FUT1	paleturquoise	paleturquoise
FUT10	palevioletred3	palevioletred3
FUT11	turquoise	darkgreen
FUT2	grey	grey
FUT3	grey	grey
FUT4	yellowgreen	darkgreen
FUT8	grey	grey
FUZ	paleturquoise	paleturquoise
FXN	midnightblue	darkgreen
FXR1	lightpink4	darkgreen
FXR2	lightyellow	darkgreen
FXYD1	grey	grey
FXYD3	grey	grey
FXYD4	grey	grey
FXYD5	grey	grey
FXYD6	grey	grey
FXYD7	grey	grey
FYB1	brown	brown
FYB2	grey	grey
FYCO1	purple	darkgreen
FYN	black	darkgreen
FYTTD1	lightpink4	darkgreen
FZD1	blue	blue
FZD10	grey	grey
FZD2	darkturquoise	darkgreen
FZD3	palevioletred3	palevioletred3
FZD4	grey	grey
FZD5	turquoise	darkgreen
FZD6	plum2	plum2
FZD7	turquoise	darkgreen
FZD8	blue	blue
FZD9	grey	grey
FZR1	orangered4	orangered4
G0S2	brown	brown
G2E3	greenyellow	darkgreen
G3BP1	plum1	darkgreen
G3BP2	royalblue	darkgreen
G6PC3	darkturquoise	darkgreen
G6PD	turquoise	darkgreen
GAA	mediumpurple3	bisque4
GAB1	darkgreen	darkgreen
GAB2	darkolivegreen	darkgreen
GAB3	brown	brown
GABARAP	grey	grey
GABARAPL1	grey	grey
GABARAPL2	grey	grey
GABBR1	grey	grey
GABBR2	grey	grey
GABPA	turquoise	darkgreen
GABPB2	turquoise	darkgreen
GABRA3	grey	grey
GABRD	blue	blue
GABRE	brown	brown
GABRG3	grey	grey
GABRP	grey	grey
GADD45A	blue	blue
GADD45B	blue	blue
GADD45G	grey	grey
GADD45GIP1	thistle2	salmon4
GAK	royalblue	darkgreen
GAL	grey	grey
GAL3ST1	grey	grey
GAL3ST2	turquoise	darkgreen
GAL3ST3	grey	grey
GAL3ST4	brown	brown
GALC	greenyellow	darkgreen
GALE	grey	grey
GALK1	mediumpurple3	bisque4
GALK2	ivory	darkgreen
GALM	turquoise	darkgreen
GALNS	tan	darkgreen
GALNT1	honeydew1	darkgreen
GALNT10	blue	blue
GALNT11	darkseagreen4	darkgreen
GALNT12	grey	grey
GALNT13	grey	grey
GALNT14	grey	grey
GALNT15	blue	blue
GALNT16	grey	grey
GALNT17	grey	grey
GALNT18	grey	grey
GALNT2	lightcyan	darkgreen
GALNT3	grey	grey
GALNT5	blue	blue
GALNT6	turquoise	darkgreen
GALNT7	darkgreen	darkgreen
GALR2	green	green
GALR3	grey	grey
GALT	darkslateblue	darkslateblue
GAMT	grey	grey
GAN	tan	darkgreen
GANAB	darkolivegreen	darkgreen
GANC	ivory	darkgreen
GAP43	blue	blue
GAPDH	brown4	brown4
GAPT	brown	brown
GAPVD1	midnightblue	darkgreen
GAR1	darkgreen	darkgreen
GAREM1	honeydew1	darkgreen
GAREM2	turquoise	darkgreen
GARNL3	lightgreen	darkgreen
GART	turquoise	darkgreen
GAS1	blue	blue
GAS2L1	grey60	darkgreen
GAS2L2	green	green
GAS2L3	yellow	yellow
GAS6	grey	grey
GAS8	tan	darkgreen
GASK1A	purple	darkgreen
GASK1B	blue	blue
GAST	grey	grey
GATA2	blue	blue
GATA3	brown	brown
GATA4	blue	blue
GATA5	grey	grey
GATA6	grey	grey
GATAD1	turquoise	darkgreen
GATAD2A	salmon4	salmon4
GATAD2B	turquoise	darkgreen
GATB	darkgreen	darkgreen
GATC	black	darkgreen
GATD1	darkorange2	darkgreen
GATD3A	grey	grey
GATD3B	grey	grey
GATM	grey	grey
GBA	brown	brown
GBA2	darkslateblue	darkslateblue
GBE1	purple	darkgreen
GBF1	floralwhite	darkgreen
GBGT1	brown	brown
GBP1	brown	brown
GBP2	brown	brown
GBP3	darkmagenta	darkmagenta
GBP4	brown	brown
GBP5	violet	brown
GCA	grey	grey
GCAT	grey	grey
GCC1	turquoise	darkgreen
GCC2	turquoise	darkgreen
GCDH	thistle2	salmon4
GCFC2	cyan	darkgreen
GCH1	brown	brown
GCHFR	grey	grey
GCK	grey	grey
GCLC	magenta	darkgreen
GCLM	grey	grey
GCN1	black	darkgreen
GCNA	grey	grey
GCNT1	midnightblue	darkgreen
GCNT2	grey	grey
GCNT3	grey	grey
GCSH	grey	grey
GDA	grey	grey
GDAP1	grey	grey
GDAP2	turquoise	darkgreen
GDE1	skyblue3	darkgreen
GDF10	grey	grey
GDF11	black	darkgreen
GDF15	grey	grey
GDF5	grey	grey
GDF6	blue	blue
GDF9	grey	grey
GDI1	turquoise	darkgreen
GDI2	yellow	yellow
GDNF	blue	blue
GDPD1	bisque4	bisque4
GDPD2	grey	grey
GDPD3	grey	grey
GDPD5	grey	grey
GDPGP1	darkred	darkgreen
GEM	blue	blue
GEMIN2	greenyellow	darkgreen
GEMIN4	lightyellow	darkgreen
GEMIN5	plum1	darkgreen
GEMIN6	grey	grey
GEMIN7	paleturquoise	paleturquoise
